"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1991-08","Aug-1991","PC","Percentage","0","Units",,,-1.08108108108106,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1991-09","Sep-1991","PC","Percentage","0","Units",,,0.136612021857904,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1991-10","Oct-1991","PC","Percentage","0","Units",,,1.22783083219646,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1991-11","Nov-1991","PC","Percentage","0","Units",,,0.269541778975758,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1991-12","Dec-1991","PC","Percentage","0","Units",,,-0.403225806451638,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-01","Jan-1992","PC","Percentage","0","Units",,,0,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-02","Feb-1992","PC","Percentage","0","Units",,,0.539811066126862,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-03","Mar-1992","PC","Percentage","0","Units",,,-0.402684563758387,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-04","Apr-1992","PC","Percentage","0","Units",,,0.673854447439353,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-05","May-1992","PC","Percentage","0","Units",,,-2.00803212851404,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-06","Jun-1992","PC","Percentage","0","Units",,,0.956284153005468,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-07","Jul-1992","PC","Percentage","0","Units",,,0.947225981055455,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-08","Aug-1992","PC","Percentage","0","Units",,,-0.134048257372649,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-09","Sep-1992","PC","Percentage","0","Units",,,0.671140939597316,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-10","Oct-1992","PC","Percentage","0","Units",,,1.06666666666666,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-11","Nov-1992","PC","Percentage","0","Units",,,-1.31926121372032,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1992-12","Dec-1992","PC","Percentage","0","Units",,,-0.133689839572187,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-01","Jan-1993","PC","Percentage","0","Units",,,0.133868808567598,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-02","Feb-1993","PC","Percentage","0","Units",,,1.47058823529414,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-03","Mar-1993","PC","Percentage","0","Units",,,-0.922266139657461,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-04","Apr-1993","PC","Percentage","0","Units",,,0.13297872340425,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-05","May-1993","PC","Percentage","0","Units",,,0.796812749004006,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-06","Jun-1993","PC","Percentage","0","Units",,,-0.658761528326746,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-07","Jul-1993","PC","Percentage","0","Units",,,0.928381962864696,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-08","Aug-1993","PC","Percentage","0","Units",,,0.262812089356113,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-09","Sep-1993","PC","Percentage","0","Units",,,0.393184796854533,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-10","Oct-1993","PC","Percentage","0","Units",,,0.261096605744114,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-11","Nov-1993","PC","Percentage","0","Units",,,0.911458333333336,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1993-12","Dec-1993","PC","Percentage","0","Units",,,0.258064516129035,,
"PRINTO01","Industrial production, s.a.","GBR","United Kingdom","GP","Growth previous period","M","Monthly","1994-01","Jan-1994","PC","Percentage","0","Units",,,0.643500643500644,,
